vocabulary size: 111
n tunes: 400
n train tunes: 336
n validation tunes: 64
setting learning rate to 0.0012030
256/500 (epoch 51.200) train_loss=647.65100655 time/batch=24.83s
257/500 (epoch 51.400) train_loss=527.37778587 time/batch=27.65s
258/500 (epoch 51.600) train_loss=270.75354929 time/batch=53.42s
259/500 (epoch 51.800) train_loss=1128.37389394 time/batch=50.42s
260/500 (epoch 52.000) train_loss=324.56036611 time/batch=14.93s
setting learning rate to 0.0011669
261/500 (epoch 52.200) train_loss=698.37823557 time/batch=26.62s
262/500 (epoch 52.400) train_loss=1127.16256341 time/batch=49.80s
263/500 (epoch 52.600) train_loss=565.75428613 time/batch=28.62s
264/500 (epoch 52.800) train_loss=273.42205416 time/batch=54.00s
265/500 (epoch 53.000) train_loss=317.50064995 time/batch=29.29s
setting learning rate to 0.0011319
266/500 (epoch 53.200) train_loss=1114.38024041 time/batch=46.40s
267/500 (epoch 53.400) train_loss=744.98413583 time/batch=28.93s
268/500 (epoch 53.600) train_loss=574.23030942 time/batch=49.45s
269/500 (epoch 53.800) train_loss=282.57881511 time/batch=15.22s
270/500 (epoch 54.000) train_loss=249.16255089 time/batch=11.15s
setting learning rate to 0.0010980
271/500 (epoch 54.200) train_loss=811.35688431 time/batch=32.12s
272/500 (epoch 54.400) train_loss=292.57399628 time/batch=14.69s
273/500 (epoch 54.600) train_loss=1078.84955617 time/batch=46.16s
274/500 (epoch 54.800) train_loss=549.03063138 time/batch=48.64s
275/500 (epoch 55.000) train_loss=264.02628252 time/batch=54.45s
setting learning rate to 0.0010650
276/500 (epoch 55.200) train_loss=1132.07726626 time/batch=50.89s
277/500 (epoch 55.400) train_loss=231.12980401 time/batch=11.28s
278/500 (epoch 55.600) train_loss=615.43070567 time/batch=24.35s
279/500 (epoch 55.800) train_loss=385.12843429 time/batch=25.67s
280/500 (epoch 56.000) train_loss=523.98585556 time/batch=28.93s
setting learning rate to 0.0010331
281/500 (epoch 56.200) train_loss=1116.40304319 time/batch=46.58s
282/500 (epoch 56.400) train_loss=264.09809539 time/batch=54.46s
283/500 (epoch 56.600) train_loss=590.89196860 time/batch=24.27s
284/500 (epoch 56.800) train_loss=733.48026437 time/batch=49.37s
285/500 (epoch 57.000) train_loss=348.99298205 time/batch=14.01s
setting learning rate to 0.0010021
286/500 (epoch 57.200) train_loss=307.42687350 time/batch=15.12s
287/500 (epoch 57.400) train_loss=1096.90655429 time/batch=42.00s
288/500 (epoch 57.600) train_loss=304.02020914 time/batch=55.63s
289/500 (epoch 57.800) train_loss=969.30995939 time/batch=49.63s
290/500 (epoch 58.000) train_loss=501.39897211 time/batch=21.25s
setting learning rate to 0.0009720
291/500 (epoch 58.200) train_loss=677.13292918 time/batch=25.38s
292/500 (epoch 58.400) train_loss=933.49247789 time/batch=34.95s
293/500 (epoch 58.600) train_loss=258.94477321 time/batch=11.02s
294/500 (epoch 58.800) train_loss=341.38574280 time/batch=14.57s
295/500 (epoch 59.000) train_loss=658.52489316 time/batch=54.05s
setting learning rate to 0.0009429
296/500 (epoch 59.200) train_loss=747.58577389 time/batch=27.90s
297/500 (epoch 59.400) train_loss=614.34257420 time/batch=32.40s
298/500 (epoch 59.600) train_loss=336.14368743 time/batch=15.96s
299/500 (epoch 59.800) train_loss=981.65380456 time/batch=43.84s
300/500 (epoch 60.000) train_loss=362.74547399 time/batch=49.79s
setting learning rate to 0.0009146
  saved to metadata/config5-processed_songs-20250114-005031.pkl
301/500 (epoch 60.200) train_loss=635.59203402 time/batch=25.51s
302/500 (epoch 60.400) train_loss=1139.53400773 time/batch=49.23s
303/500 (epoch 60.600) train_loss=521.46368474 time/batch=26.32s
304/500 (epoch 60.800) train_loss=243.13880801 time/batch=11.35s
305/500 (epoch 61.000) train_loss=383.91485952 time/batch=54.46s
setting learning rate to 0.0008871
306/500 (epoch 61.200) train_loss=1025.77332492 time/batch=41.58s
307/500 (epoch 61.400) train_loss=273.81145066 time/batch=13.26s
308/500 (epoch 61.600) train_loss=900.29875734 time/batch=49.30s
309/500 (epoch 61.800) train_loss=532.25749251 time/batch=22.42s
310/500 (epoch 62.000) train_loss=287.35599389 time/batch=15.46s
setting learning rate to 0.0008605
311/500 (epoch 62.200) train_loss=571.26232867 time/batch=24.32s
312/500 (epoch 62.400) train_loss=1116.69519652 time/batch=46.08s
313/500 (epoch 62.600) train_loss=714.55506411 time/batch=50.35s
314/500 (epoch 62.800) train_loss=264.29298588 time/batch=54.86s
315/500 (epoch 63.000) train_loss=296.80815294 time/batch=16.25s
setting learning rate to 0.0008347
316/500 (epoch 63.200) train_loss=556.16718863 time/batch=23.19s
317/500 (epoch 63.400) train_loss=910.52266764 time/batch=35.39s
318/500 (epoch 63.600) train_loss=733.96106416 time/batch=41.44s
319/500 (epoch 63.800) train_loss=266.74894546 time/batch=54.34s
320/500 (epoch 64.000) train_loss=351.54225302 time/batch=43.57s
setting learning rate to 0.0008097
321/500 (epoch 64.200) train_loss=709.48881022 time/batch=27.72s
322/500 (epoch 64.400) train_loss=284.13345579 time/batch=15.36s
323/500 (epoch 64.600) train_loss=265.11576149 time/batch=54.78s
324/500 (epoch 64.800) train_loss=416.55016098 time/batch=27.87s
325/500 (epoch 65.000) train_loss=1012.58480638 time/batch=40.05s
setting learning rate to 0.0007854
326/500 (epoch 65.200) train_loss=232.60628040 time/batch=11.47s
327/500 (epoch 65.400) train_loss=916.71811110 time/batch=34.95s
328/500 (epoch 65.600) train_loss=310.52596877 time/batch=53.66s
329/500 (epoch 65.800) train_loss=391.71548413 time/batch=19.45s
330/500 (epoch 66.000) train_loss=824.97370722 time/batch=40.20s
setting learning rate to 0.0007618
331/500 (epoch 66.200) train_loss=238.20365394 time/batch=11.52s
332/500 (epoch 66.400) train_loss=354.81843917 time/batch=18.60s
333/500 (epoch 66.600) train_loss=737.42990198 time/batch=27.52s
334/500 (epoch 66.800) train_loss=341.33687288 time/batch=53.12s
335/500 (epoch 67.000) train_loss=1069.58212366 time/batch=42.31s
setting learning rate to 0.0007390
336/500 (epoch 67.200) train_loss=775.00130604 time/batch=28.38s
337/500 (epoch 67.400) train_loss=647.65288912 time/batch=33.07s
338/500 (epoch 67.600) train_loss=238.00129116 time/batch=11.83s
339/500 (epoch 67.800) train_loss=661.80058371 time/batch=37.97s
340/500 (epoch 68.000) train_loss=362.01216537 time/batch=52.46s
setting learning rate to 0.0007168
341/500 (epoch 68.200) train_loss=682.58479026 time/batch=26.04s
342/500 (epoch 68.400) train_loss=302.47209160 time/batch=15.66s
343/500 (epoch 68.600) train_loss=245.70061930 time/batch=11.73s
344/500 (epoch 68.800) train_loss=1133.34560608 time/batch=48.99s
345/500 (epoch 69.000) train_loss=428.76495615 time/batch=28.27s
setting learning rate to 0.0006953
346/500 (epoch 69.200) train_loss=501.06322369 time/batch=22.75s
347/500 (epoch 69.400) train_loss=235.73930740 time/batch=11.82s
348/500 (epoch 69.600) train_loss=1021.56447422 time/batch=42.11s
349/500 (epoch 69.800) train_loss=874.58055738 time/batch=49.47s
350/500 (epoch 70.000) train_loss=309.30191032 time/batch=53.56s
setting learning rate to 0.0006744
  saved to metadata/config5-processed_songs-20250114-005031.pkl
351/500 (epoch 70.200) train_loss=1037.38458732 time/batch=41.25s
352/500 (epoch 70.400) train_loss=615.13002602 time/batch=24.95s
353/500 (epoch 70.600) train_loss=739.57046333 time/batch=48.05s
354/500 (epoch 70.800) train_loss=290.78780717 time/batch=15.70s
355/500 (epoch 71.000) train_loss=266.07730468 time/batch=54.32s
setting learning rate to 0.0006542
356/500 (epoch 71.200) train_loss=1016.51163870 time/batch=42.37s
357/500 (epoch 71.400) train_loss=340.30433555 time/batch=18.61s
358/500 (epoch 71.600) train_loss=242.77477678 time/batch=53.23s
359/500 (epoch 71.800) train_loss=490.25344442 time/batch=23.14s
360/500 (epoch 72.000) train_loss=793.68947085 time/batch=46.96s
setting learning rate to 0.0006346
361/500 (epoch 72.200) train_loss=1124.12862360 time/batch=49.16s
362/500 (epoch 72.400) train_loss=259.86234660 time/batch=54.13s
363/500 (epoch 72.600) train_loss=360.69333290 time/batch=18.93s
364/500 (epoch 72.800) train_loss=317.73422504 time/batch=20.25s
365/500 (epoch 73.000) train_loss=787.14776527 time/batch=29.79s
setting learning rate to 0.0006155
366/500 (epoch 73.200) train_loss=258.72074619 time/batch=54.39s
367/500 (epoch 73.400) train_loss=1125.12674510 time/batch=49.80s
368/500 (epoch 73.600) train_loss=405.28435511 time/batch=20.16s
369/500 (epoch 73.800) train_loss=354.54100699 time/batch=22.33s
370/500 (epoch 74.000) train_loss=786.73782761 time/batch=29.49s
setting learning rate to 0.0005971
371/500 (epoch 74.200) train_loss=960.81360500 time/batch=36.75s
372/500 (epoch 74.400) train_loss=240.95834416 time/batch=54.39s
