vocabulary size: 123
n tunes: 400
n train tunes: 368
n validation tunes: 32
48/2200 (epoch 4.364) train_loss=405.75314331 time/batch=3.36s
49/2200 (epoch 4.455) train_loss=1170.02172852 time/batch=9.59s
50/2200 (epoch 4.545) train_loss=465.91900635 time/batch=3.70s
51/2200 (epoch 4.636) train_loss=934.05920410 time/batch=7.91s
52/2200 (epoch 4.727) train_loss=547.44207764 time/batch=4.58s
53/2200 (epoch 4.818) train_loss=532.47454834 time/batch=16.48s
54/2200 (epoch 4.909) train_loss=791.99737549 time/batch=25.52s
55/2200 (epoch 5.000) train_loss=1086.80566406 time/batch=9.64s
56/2200 (epoch 5.091) train_loss=801.27636719 time/batch=17.59s
57/2200 (epoch 5.182) train_loss=1204.73950195 time/batch=9.33s
58/2200 (epoch 5.273) train_loss=735.02752686 time/batch=5.65s
59/2200 (epoch 5.364) train_loss=1160.76599121 time/batch=10.07s
60/2200 (epoch 5.455) train_loss=560.47857666 time/batch=3.85s
61/2200 (epoch 5.545) train_loss=864.47613525 time/batch=6.27s
62/2200 (epoch 5.636) train_loss=558.92065430 time/batch=14.80s
63/2200 (epoch 5.727) train_loss=513.90197754 time/batch=4.36s
64/2200 (epoch 5.818) train_loss=897.07269287 time/batch=6.97s
65/2200 (epoch 5.909) train_loss=442.15286255 time/batch=13.79s
66/2200 (epoch 6.000) train_loss=680.64801025 time/batch=23.08s
67/2200 (epoch 6.091) train_loss=1156.80078125 time/batch=8.17s
68/2200 (epoch 6.182) train_loss=450.93499756 time/batch=3.57s
69/2200 (epoch 6.273) train_loss=699.29132080 time/batch=5.33s
70/2200 (epoch 6.364) train_loss=1011.91455078 time/batch=8.98s
71/2200 (epoch 6.455) train_loss=565.30596924 time/batch=4.20s
72/2200 (epoch 6.545) train_loss=580.15081787 time/batch=5.07s
73/2200 (epoch 6.636) train_loss=737.18493652 time/batch=23.76s
74/2200 (epoch 6.727) train_loss=1097.45153809 time/batch=10.22s
75/2200 (epoch 6.818) train_loss=518.24108887 time/batch=15.57s
76/2200 (epoch 6.909) train_loss=844.16357422 time/batch=6.60s
77/2200 (epoch 7.000) train_loss=1020.30554199 time/batch=18.03s
78/2200 (epoch 7.091) train_loss=734.88671875 time/batch=23.41s
79/2200 (epoch 7.182) train_loss=569.37915039 time/batch=4.28s
80/2200 (epoch 7.273) train_loss=375.04959106 time/batch=2.88s
81/2200 (epoch 7.364) train_loss=796.48931885 time/batch=17.32s
82/2200 (epoch 7.455) train_loss=1260.88757324 time/batch=10.15s
83/2200 (epoch 7.545) train_loss=520.38781738 time/batch=15.63s
84/2200 (epoch 7.636) train_loss=1153.08483887 time/batch=10.80s
85/2200 (epoch 7.727) train_loss=497.62490845 time/batch=3.88s
86/2200 (epoch 7.818) train_loss=876.73419189 time/batch=6.82s
87/2200 (epoch 7.909) train_loss=667.96295166 time/batch=6.04s
88/2200 (epoch 8.000) train_loss=894.10290527 time/batch=10.38s
89/2200 (epoch 8.091) train_loss=461.67440796 time/batch=14.53s
90/2200 (epoch 8.182) train_loss=796.75152588 time/batch=18.27s
91/2200 (epoch 8.273) train_loss=568.00585938 time/batch=16.40s
92/2200 (epoch 8.364) train_loss=1293.01672363 time/batch=12.53s
93/2200 (epoch 8.455) train_loss=975.84692383 time/batch=7.89s
94/2200 (epoch 8.545) train_loss=483.48336792 time/batch=4.13s
95/2200 (epoch 8.636) train_loss=688.10034180 time/batch=5.99s
96/2200 (epoch 8.727) train_loss=899.17962646 time/batch=8.62s
97/2200 (epoch 8.818) train_loss=609.50762939 time/batch=6.27s
98/2200 (epoch 8.909) train_loss=1032.59570312 time/batch=9.29s
99/2200 (epoch 9.000) train_loss=520.51428223 time/batch=9.64s
100/2200 (epoch 9.091) train_loss=1281.59521484 time/batch=12.60s
101/2200 (epoch 9.182) train_loss=985.07720947 time/batch=8.63s
102/2200 (epoch 9.273) train_loss=856.72418213 time/batch=18.83s
103/2200 (epoch 9.364) train_loss=769.15606689 time/batch=6.47s
104/2200 (epoch 9.455) train_loss=415.06985474 time/batch=3.24s
105/2200 (epoch 9.545) train_loss=618.56433105 time/batch=5.05s
106/2200 (epoch 9.636) train_loss=435.21249390 time/batch=3.58s
107/2200 (epoch 9.727) train_loss=946.80187988 time/batch=8.90s
108/2200 (epoch 9.818) train_loss=478.70278931 time/batch=15.99s
109/2200 (epoch 9.909) train_loss=773.51855469 time/batch=9.11s
110/2200 (epoch 10.000) train_loss=673.77862549 time/batch=8.97s
  saved to metadata/configSample--20250116-172737.pkl
111/2200 (epoch 10.091) train_loss=540.76110840 time/batch=4.04s
112/2200 (epoch 10.182) train_loss=1189.40124512 time/batch=9.37s
113/2200 (epoch 10.273) train_loss=752.58428955 time/batch=23.74s
114/2200 (epoch 10.364) train_loss=653.17956543 time/batch=4.87s
115/2200 (epoch 10.455) train_loss=861.54144287 time/batch=6.26s
116/2200 (epoch 10.545) train_loss=521.43798828 time/batch=15.08s
117/2200 (epoch 10.636) train_loss=644.62023926 time/batch=5.13s
118/2200 (epoch 10.727) train_loss=858.20935059 time/batch=17.05s
119/2200 (epoch 10.818) train_loss=1066.73925781 time/batch=9.79s
120/2200 (epoch 10.909) train_loss=389.91171265 time/batch=3.09s
121/2200 (epoch 11.000) train_loss=869.19757080 time/batch=10.35s
122/2200 (epoch 11.091) train_loss=537.53942871 time/batch=4.01s
123/2200 (epoch 11.182) train_loss=867.72625732 time/batch=6.86s
124/2200 (epoch 11.273) train_loss=1283.82006836 time/batch=12.72s
125/2200 (epoch 11.364) train_loss=1140.59741211 time/batch=9.27s
126/2200 (epoch 11.455) train_loss=454.32275391 time/batch=3.26s
127/2200 (epoch 11.545) train_loss=690.96588135 time/batch=5.72s
128/2200 (epoch 11.636) train_loss=418.18475342 time/batch=3.52s
129/2200 (epoch 11.727) train_loss=810.69396973 time/batch=19.26s
130/2200 (epoch 11.818) train_loss=560.41491699 time/batch=5.01s
131/2200 (epoch 11.909) train_loss=751.76678467 time/batch=26.32s
132/2200 (epoch 12.000) train_loss=902.72271729 time/batch=7.11s
133/2200 (epoch 12.091) train_loss=724.73962402 time/batch=5.43s
134/2200 (epoch 12.182) train_loss=438.89196777 time/batch=3.20s
135/2200 (epoch 12.273) train_loss=745.24438477 time/batch=17.24s
136/2200 (epoch 12.364) train_loss=869.55596924 time/batch=6.54s
137/2200 (epoch 12.455) train_loss=813.62780762 time/batch=6.81s
138/2200 (epoch 12.545) train_loss=400.24008179 time/batch=3.35s
139/2200 (epoch 12.636) train_loss=405.87216187 time/batch=14.50s
140/2200 (epoch 12.727) train_loss=1303.68103027 time/batch=11.40s
141/2200 (epoch 12.818) train_loss=543.19946289 time/batch=4.07s
142/2200 (epoch 12.909) train_loss=1129.02282715 time/batch=8.58s
143/2200 (epoch 13.000) train_loss=801.46649170 time/batch=9.44s
144/2200 (epoch 13.091) train_loss=838.52990723 time/batch=18.08s
145/2200 (epoch 13.182) train_loss=1276.79528809 time/batch=13.43s
146/2200 (epoch 13.273) train_loss=909.15246582 time/batch=7.84s
147/2200 (epoch 13.364) train_loss=407.91882324 time/batch=3.19s
148/2200 (epoch 13.455) train_loss=612.54565430 time/batch=4.91s
149/2200 (epoch 13.545) train_loss=719.61065674 time/batch=6.33s
150/2200 (epoch 13.636) train_loss=539.61730957 time/batch=15.67s
151/2200 (epoch 13.727) train_loss=1149.23767090 time/batch=9.21s
152/2200 (epoch 13.818) train_loss=849.45782471 time/batch=7.72s
153/2200 (epoch 13.909) train_loss=771.04821777 time/batch=25.66s
154/2200 (epoch 14.000) train_loss=525.64300537 time/batch=4.16s
155/2200 (epoch 14.091) train_loss=875.57507324 time/batch=6.91s
156/2200 (epoch 14.182) train_loss=1146.14709473 time/batch=9.01s
157/2200 (epoch 14.273) train_loss=420.76184082 time/batch=15.18s
158/2200 (epoch 14.364) train_loss=851.55737305 time/batch=18.17s
159/2200 (epoch 14.455) train_loss=662.76239014 time/batch=5.94s
160/2200 (epoch 14.545) train_loss=703.13806152 time/batch=27.65s
161/2200 (epoch 14.636) train_loss=454.97814941 time/batch=4.20s
162/2200 (epoch 14.727) train_loss=541.67114258 time/batch=17.23s
163/2200 (epoch 14.818) train_loss=832.55725098 time/batch=7.91s
164/2200 (epoch 14.909) train_loss=728.72229004 time/batch=8.73s
165/2200 (epoch 15.000) train_loss=1265.89489746 time/batch=13.82s
166/2200 (epoch 15.091) train_loss=724.02026367 time/batch=6.34s
167/2200 (epoch 15.182) train_loss=531.72857666 time/batch=4.46s
168/2200 (epoch 15.273) train_loss=1055.84558105 time/batch=9.32s
169/2200 (epoch 15.364) train_loss=1269.78552246 time/batch=13.93s
170/2200 (epoch 15.455) train_loss=835.85333252 time/batch=7.03s
171/2200 (epoch 15.545) train_loss=445.99060059 time/batch=3.69s
172/2200 (epoch 15.636) train_loss=439.08447266 time/batch=16.23s
173/2200 (epoch 15.727) train_loss=750.30902100 time/batch=19.26s
174/2200 (epoch 15.818) train_loss=604.18304443 time/batch=17.84s
175/2200 (epoch 15.909) train_loss=1015.22186279 time/batch=10.36s
176/2200 (epoch 16.000) train_loss=691.88214111 time/batch=27.70s
177/2200 (epoch 16.091) train_loss=541.67883301 time/batch=4.75s
178/2200 (epoch 16.182) train_loss=925.59735107 time/batch=8.25s
179/2200 (epoch 16.273) train_loss=1208.54150391 time/batch=10.79s
180/2200 (epoch 16.364) train_loss=450.57095337 time/batch=3.96s
181/2200 (epoch 16.455) train_loss=441.84762573 time/batch=16.81s
182/2200 (epoch 16.545) train_loss=685.38269043 time/batch=5.66s
183/2200 (epoch 16.636) train_loss=699.29089355 time/batch=27.20s
184/2200 (epoch 16.727) train_loss=921.74127197 time/batch=8.62s
185/2200 (epoch 16.818) train_loss=757.05926514 time/batch=19.51s
186/2200 (epoch 16.909) train_loss=588.54119873 time/batch=16.77s
187/2200 (epoch 17.000) train_loss=899.01348877 time/batch=9.77s
188/2200 (epoch 17.091) train_loss=688.63861084 time/batch=5.66s
189/2200 (epoch 17.182) train_loss=574.26611328 time/batch=5.01s
190/2200 (epoch 17.273) train_loss=1158.39184570 time/batch=10.15s
191/2200 (epoch 17.364) train_loss=902.58166504 time/batch=8.35s
192/2200 (epoch 17.455) train_loss=1265.21032715 time/batch=12.75s
193/2200 (epoch 17.545) train_loss=466.50469971 time/batch=4.24s
194/2200 (epoch 17.636) train_loss=855.33355713 time/batch=19.92s
195/2200 (epoch 17.727) train_loss=4752.84082031 time/batch=7.75s
196/2200 (epoch 17.818) train_loss=384.54861450 time/batch=3.39s
197/2200 (epoch 17.909) train_loss=692.35711670 time/batch=27.19s
198/2200 (epoch 18.000) train_loss=625.78613281 time/batch=8.40s
199/2200 (epoch 18.091) train_loss=562.44458008 time/batch=4.84s
200/2200 (epoch 18.182) train_loss=720.22717285 time/batch=26.60s
201/2200 (epoch 18.273) train_loss=893.43347168 time/batch=7.49s
202/2200 (epoch 18.364) train_loss=695.17590332 time/batch=5.59s
203/2200 (epoch 18.455) train_loss=748.05334473 time/batch=19.21s
204/2200 (epoch 18.545) train_loss=1140.23352051 time/batch=10.15s
205/2200 (epoch 18.636) train_loss=877.05926514 time/batch=7.91s
206/2200 (epoch 18.727) train_loss=1128.84570312 time/batch=11.37s
207/2200 (epoch 18.818) train_loss=474.01620483 time/batch=4.07s
208/2200 (epoch 18.909) train_loss=844.76708984 time/batch=13.47s
209/2200 (epoch 19.000) train_loss=472.44094849 time/batch=18.15s
210/2200 (epoch 19.091) train_loss=459.55187988 time/batch=16.29s
211/2200 (epoch 19.182) train_loss=1196.85937500 time/batch=9.30s
212/2200 (epoch 19.273) train_loss=695.55603027 time/batch=5.71s
213/2200 (epoch 19.364) train_loss=939.94262695 time/batch=8.23s
214/2200 (epoch 19.455) train_loss=1206.17626953 time/batch=13.51s
215/2200 (epoch 19.545) train_loss=854.32891846 time/batch=19.32s
216/2200 (epoch 19.636) train_loss=566.02307129 time/batch=17.21s
217/2200 (epoch 19.727) train_loss=827.40838623 time/batch=7.61s
218/2200 (epoch 19.818) train_loss=610.89807129 time/batch=5.26s
219/2200 (epoch 19.909) train_loss=500.57754517 time/batch=4.48s
220/2200 (epoch 20.000) train_loss=395.13302612 time/batch=3.60s
  saved to metadata/configSample--20250116-172737.pkl
221/2200 (epoch 20.091) train_loss=519.30969238 time/batch=17.23s
222/2200 (epoch 20.182) train_loss=897.42724609 time/batch=7.50s
223/2200 (epoch 20.273) train_loss=472.72665405 time/batch=3.98s
224/2200 (epoch 20.364) train_loss=1149.90051270 time/batch=9.88s
225/2200 (epoch 20.455) train_loss=662.57519531 time/batch=5.95s
226/2200 (epoch 20.545) train_loss=670.73205566 time/batch=6.37s
227/2200 (epoch 20.636) train_loss=1107.63891602 time/batch=10.32s
228/2200 (epoch 20.727) train_loss=1095.83093262 time/batch=13.19s
229/2200 (epoch 20.818) train_loss=381.01254272 time/batch=3.28s
230/2200 (epoch 20.909) train_loss=799.48150635 time/batch=18.86s
231/2200 (epoch 21.000) train_loss=519.25561523 time/batch=16.33s
232/2200 (epoch 21.091) train_loss=1252.13452148 time/batch=11.91s
233/2200 (epoch 21.182) train_loss=383.01776123 time/batch=3.39s
234/2200 (epoch 21.273) train_loss=543.94427490 time/batch=4.51s
235/2200 (epoch 21.364) train_loss=1072.59411621 time/batch=9.33s
236/2200 (epoch 21.455) train_loss=1029.75646973 time/batch=12.61s
237/2200 (epoch 21.545) train_loss=741.19714355 time/batch=26.58s
238/2200 (epoch 21.636) train_loss=444.76501465 time/batch=4.09s
239/2200 (epoch 21.727) train_loss=653.14227295 time/batch=6.16s
240/2200 (epoch 21.818) train_loss=780.93939209 time/batch=19.66s
241/2200 (epoch 21.909) train_loss=856.91912842 time/batch=7.52s
242/2200 (epoch 22.000) train_loss=684.92694092 time/batch=6.34s
setting learning rate to 0.0029100
243/2200 (epoch 22.091) train_loss=784.91839600 time/batch=19.35s
244/2200 (epoch 22.182) train_loss=553.16571045 time/batch=5.08s
245/2200 (epoch 22.273) train_loss=977.69299316 time/batch=8.72s
246/2200 (epoch 22.364) train_loss=1276.25012207 time/batch=13.57s
247/2200 (epoch 22.455) train_loss=449.86740112 time/batch=16.13s
248/2200 (epoch 22.545) train_loss=840.77917480 time/batch=7.45s
249/2200 (epoch 22.636) train_loss=1078.31713867 time/batch=10.09s
250/2200 (epoch 22.727) train_loss=702.72979736 time/batch=26.75s
251/2200 (epoch 22.818) train_loss=517.54370117 time/batch=17.38s
252/2200 (epoch 22.909) train_loss=756.06774902 time/batch=7.00s
253/2200 (epoch 23.000) train_loss=590.72784424 time/batch=5.53s
setting learning rate to 0.0028227
254/2200 (epoch 23.091) train_loss=559.79138184 time/batch=17.42s
255/2200 (epoch 23.182) train_loss=1068.33325195 time/batch=9.74s
256/2200 (epoch 23.273) train_loss=684.82690430 time/batch=6.41s
257/2200 (epoch 23.364) train_loss=1276.92456055 time/batch=13.90s
258/2200 (epoch 23.455) train_loss=756.18774414 time/batch=27.65s
259/2200 (epoch 23.545) train_loss=819.41284180 time/batch=18.82s
260/2200 (epoch 23.636) train_loss=1001.67694092 time/batch=9.78s
261/2200 (epoch 23.727) train_loss=713.13006592 time/batch=6.35s
262/2200 (epoch 23.818) train_loss=385.82061768 time/batch=3.28s
263/2200 (epoch 23.909) train_loss=437.11865234 time/batch=3.84s
264/2200 (epoch 24.000) train_loss=608.62841797 time/batch=6.83s
setting learning rate to 0.0027380
265/2200 (epoch 24.091) train_loss=552.99047852 time/batch=5.25s
266/2200 (epoch 24.182) train_loss=457.60018921 time/batch=3.61s
267/2200 (epoch 24.273) train_loss=652.64147949 time/batch=5.42s
268/2200 (epoch 24.364) train_loss=822.62786865 time/batch=7.44s
269/2200 (epoch 24.455) train_loss=910.34014893 time/batch=7.82s
270/2200 (epoch 24.545) train_loss=1019.65625000 time/batch=9.55s
271/2200 (epoch 24.636) train_loss=1280.20776367 time/batch=13.76s
272/2200 (epoch 24.727) train_loss=602.95391846 time/batch=6.24s
273/2200 (epoch 24.818) train_loss=699.11193848 time/batch=20.19s
274/2200 (epoch 24.909) train_loss=435.28579712 time/batch=16.52s
275/2200 (epoch 25.000) train_loss=708.31640625 time/batch=27.72s
setting learning rate to 0.0026559
276/2200 (epoch 25.091) train_loss=1146.06127930 time/batch=9.84s
277/2200 (epoch 25.182) train_loss=723.72076416 time/batch=28.45s
278/2200 (epoch 25.273) train_loss=731.86560059 time/batch=6.11s
279/2200 (epoch 25.364) train_loss=517.23382568 time/batch=17.33s
280/2200 (epoch 25.455) train_loss=1290.14111328 time/batch=13.12s
281/2200 (epoch 25.545) train_loss=885.39007568 time/batch=8.11s
282/2200 (epoch 25.636) train_loss=653.57495117 time/batch=5.50s
283/2200 (epoch 25.727) train_loss=903.82312012 time/batch=9.03s
284/2200 (epoch 25.818) train_loss=741.37811279 time/batch=18.91s
285/2200 (epoch 25.909) train_loss=546.73992920 time/batch=6.24s
286/2200 (epoch 26.000) train_loss=404.62850952 time/batch=3.59s
setting learning rate to 0.0025762
287/2200 (epoch 26.091) train_loss=1049.57531738 time/batch=8.88s
288/2200 (epoch 26.182) train_loss=399.22399902 time/batch=3.66s
289/2200 (epoch 26.273) train_loss=449.95916748 time/batch=16.62s
290/2200 (epoch 26.364) train_loss=863.76385498 time/batch=19.90s
291/2200 (epoch 26.455) train_loss=1285.55017090 time/batch=13.60s
292/2200 (epoch 26.545) train_loss=708.36578369 time/batch=25.65s
293/2200 (epoch 26.636) train_loss=1032.12500000 time/batch=10.17s
294/2200 (epoch 26.727) train_loss=698.93554688 time/batch=5.88s
295/2200 (epoch 26.818) train_loss=550.40771484 time/batch=4.90s
296/2200 (epoch 26.909) train_loss=586.44854736 time/batch=5.52s
297/2200 (epoch 27.000) train_loss=708.50109863 time/batch=17.52s
setting learning rate to 0.0024989
298/2200 (epoch 27.091) train_loss=1167.86718750 time/batch=10.00s
299/2200 (epoch 27.182) train_loss=537.88732910 time/batch=17.02s
300/2200 (epoch 27.273) train_loss=864.75610352 time/batch=7.89s
301/2200 (epoch 27.364) train_loss=532.85455322 time/batch=4.51s
302/2200 (epoch 27.455) train_loss=552.50750732 time/batch=5.25s
303/2200 (epoch 27.545) train_loss=485.74044800 time/batch=5.86s
304/2200 (epoch 27.636) train_loss=1093.35815430 time/batch=10.62s
305/2200 (epoch 27.727) train_loss=427.58840942 time/batch=16.58s
306/2200 (epoch 27.818) train_loss=913.37438965 time/batch=11.29s
307/2200 (epoch 27.909) train_loss=617.43139648 time/batch=6.44s
308/2200 (epoch 28.000) train_loss=968.14831543 time/batch=27.43s
setting learning rate to 0.0024239
309/2200 (epoch 28.091) train_loss=435.71481323 time/batch=15.98s
310/2200 (epoch 28.182) train_loss=1139.15991211 time/batch=10.00s
311/2200 (epoch 28.273) train_loss=359.25433350 time/batch=3.52s
312/2200 (epoch 28.364) train_loss=719.47656250 time/batch=6.48s
313/2200 (epoch 28.455) train_loss=1282.06628418 time/batch=13.35s
314/2200 (epoch 28.545) train_loss=876.65332031 time/batch=7.84s
315/2200 (epoch 28.636) train_loss=900.42785645 time/batch=9.67s
316/2200 (epoch 28.727) train_loss=808.41119385 time/batch=18.80s
317/2200 (epoch 28.818) train_loss=527.09344482 time/batch=18.44s
318/2200 (epoch 28.909) train_loss=607.38110352 time/batch=5.65s
319/2200 (epoch 29.000) train_loss=785.00183105 time/batch=28.67s
setting learning rate to 0.0023512
320/2200 (epoch 29.091) train_loss=440.52792358 time/batch=3.75s
321/2200 (epoch 29.182) train_loss=1241.08105469 time/batch=11.53s
322/2200 (epoch 29.273) train_loss=377.82214355 time/batch=3.30s
323/2200 (epoch 29.364) train_loss=870.41918945 time/batch=7.30s
324/2200 (epoch 29.455) train_loss=577.23156738 time/batch=5.11s
325/2200 (epoch 29.545) train_loss=695.07049561 time/batch=26.27s
326/2200 (epoch 29.636) train_loss=1211.66052246 time/batch=13.93s
327/2200 (epoch 29.727) train_loss=542.15197754 time/batch=5.48s
328/2200 (epoch 29.818) train_loss=692.65899658 time/batch=6.32s
329/2200 (epoch 29.909) train_loss=935.43841553 time/batch=19.90s
330/2200 (epoch 30.000) train_loss=855.37762451 time/batch=7.95s
setting learning rate to 0.0022807
  saved to metadata/configSample--20250116-172737.pkl
331/2200 (epoch 30.091) train_loss=396.68829346 time/batch=3.50s
332/2200 (epoch 30.182) train_loss=603.91558838 time/batch=5.12s
333/2200 (epoch 30.273) train_loss=821.29156494 time/batch=7.10s
334/2200 (epoch 30.364) train_loss=601.21038818 time/batch=6.03s
335/2200 (epoch 30.455) train_loss=548.39916992 time/batch=17.36s
336/2200 (epoch 30.545) train_loss=439.04220581 time/batch=15.96s
337/2200 (epoch 30.636) train_loss=926.38885498 time/batch=8.11s
338/2200 (epoch 30.727) train_loss=760.44061279 time/batch=26.43s
339/2200 (epoch 30.818) train_loss=1247.67468262 time/batch=10.54s
340/2200 (epoch 30.909) train_loss=1178.06433105 time/batch=11.44s
341/2200 (epoch 31.000) train_loss=930.01373291 time/batch=19.20s
setting learning rate to 0.0022123
342/2200 (epoch 31.091) train_loss=556.60797119 time/batch=4.60s
343/2200 (epoch 31.182) train_loss=1213.99572754 time/batch=10.89s
344/2200 (epoch 31.273) train_loss=544.14538574 time/batch=17.26s
345/2200 (epoch 31.364) train_loss=745.09820557 time/batch=26.05s
346/2200 (epoch 31.455) train_loss=685.01031494 time/batch=6.17s
347/2200 (epoch 31.545) train_loss=616.18304443 time/batch=6.36s
348/2200 (epoch 31.636) train_loss=376.32434082 time/batch=3.50s
349/2200 (epoch 31.727) train_loss=904.60626221 time/batch=7.84s
350/2200 (epoch 31.818) train_loss=1114.19860840 time/batch=11.16s
351/2200 (epoch 31.909) train_loss=649.01165771 time/batch=19.43s
352/2200 (epoch 32.000) train_loss=985.54461670 time/batch=13.70s
setting learning rate to 0.0021459
353/2200 (epoch 32.091) train_loss=1277.74560547 time/batch=13.70s
354/2200 (epoch 32.182) train_loss=561.15985107 time/batch=16.85s
355/2200 (epoch 32.273) train_loss=932.84429932 time/batch=8.12s
356/2200 (epoch 32.364) train_loss=437.63211060 time/batch=15.70s
357/2200 (epoch 32.455) train_loss=1136.73486328 time/batch=10.03s
358/2200 (epoch 32.545) train_loss=849.74365234 time/batch=19.15s
359/2200 (epoch 32.636) train_loss=679.78802490 time/batch=5.60s
360/2200 (epoch 32.727) train_loss=756.25213623 time/batch=7.20s
361/2200 (epoch 32.818) train_loss=701.24481201 time/batch=7.49s
362/2200 (epoch 32.909) train_loss=501.56173706 time/batch=4.65s
363/2200 (epoch 33.000) train_loss=678.56103516 time/batch=28.15s
setting learning rate to 0.0020815
364/2200 (epoch 33.091) train_loss=415.18899536 time/batch=3.71s
365/2200 (epoch 33.182) train_loss=603.61315918 time/batch=5.17s
366/2200 (epoch 33.273) train_loss=524.83734131 time/batch=4.19s
367/2200 (epoch 33.364) train_loss=1304.99011230 time/batch=14.10s
368/2200 (epoch 33.455) train_loss=874.31109619 time/batch=7.96s
369/2200 (epoch 33.545) train_loss=993.02447510 time/batch=9.09s
370/2200 (epoch 33.636) train_loss=425.24450684 time/batch=3.96s
371/2200 (epoch 33.727) train_loss=842.99951172 time/batch=19.51s
372/2200 (epoch 33.818) train_loss=727.26788330 time/batch=26.52s
373/2200 (epoch 33.909) train_loss=768.14617920 time/batch=7.89s
374/2200 (epoch 34.000) train_loss=973.44897461 time/batch=9.49s
setting learning rate to 0.0020191
375/2200 (epoch 34.091) train_loss=451.81555176 time/batch=16.83s
376/2200 (epoch 34.182) train_loss=834.68072510 time/batch=18.95s
377/2200 (epoch 34.273) train_loss=768.93640137 time/batch=6.90s
378/2200 (epoch 34.364) train_loss=669.24389648 time/batch=29.90s
379/2200 (epoch 34.455) train_loss=675.76318359 time/batch=5.50s
380/2200 (epoch 34.545) train_loss=802.67059326 time/batch=7.79s
