vocabulary size: 163
n tunes: 18194
n train tunes: 17298.0
n validation tunes: 896.0
30/1621 (epoch 0.055) train_loss=2199.58056641 time/batch=69.16s
31/1621 (epoch 0.057) train_loss=518.78503418 time/batch=7.66s
32/1621 (epoch 0.059) train_loss=614.12597656 time/batch=10.07s
33/1621 (epoch 0.061) train_loss=1766.60620117 time/batch=99.59s
34/1621 (epoch 0.063) train_loss=720.80145264 time/batch=11.72s
35/1621 (epoch 0.065) train_loss=290.85327148 time/batch=5.13s
36/1621 (epoch 0.067) train_loss=784.48223877 time/batch=13.44s
37/1621 (epoch 0.068) train_loss=393.88812256 time/batch=6.78s
38/1621 (epoch 0.070) train_loss=650.69030762 time/batch=11.09s
39/1621 (epoch 0.072) train_loss=798.22186279 time/batch=13.80s
40/1621 (epoch 0.074) train_loss=787.27374268 time/batch=12.75s
41/1621 (epoch 0.076) train_loss=643.14318848 time/batch=11.15s
42/1621 (epoch 0.078) train_loss=368.76242065 time/batch=6.58s
43/1621 (epoch 0.080) train_loss=325.82391357 time/batch=5.80s
44/1621 (epoch 0.081) train_loss=615.46398926 time/batch=10.66s
45/1621 (epoch 0.083) train_loss=644.45635986 time/batch=11.32s
46/1621 (epoch 0.085) train_loss=777.93725586 time/batch=13.79s
47/1621 (epoch 0.087) train_loss=209.13327026 time/batch=3.84s
48/1621 (epoch 0.089) train_loss=296.57644653 time/batch=5.35s
49/1621 (epoch 0.091) train_loss=620.43750000 time/batch=10.84s
50/1621 (epoch 0.092) train_loss=480.23977661 time/batch=8.29s
51/1621 (epoch 0.094) train_loss=226.94416809 time/batch=4.14s
52/1621 (epoch 0.096) train_loss=768.00225830 time/batch=12.89s
53/1621 (epoch 0.098) train_loss=757.94995117 time/batch=13.88s
54/1621 (epoch 0.100) train_loss=541.05944824 time/batch=9.11s
55/1621 (epoch 0.102) train_loss=78.20475006 time/batch=1.68s
56/1621 (epoch 0.104) train_loss=756.92407227 time/batch=12.78s
57/1621 (epoch 0.105) train_loss=334.45684814 time/batch=5.69s
58/1621 (epoch 0.107) train_loss=180.78161621 time/batch=3.41s
59/1621 (epoch 0.109) train_loss=359.84411621 time/batch=6.45s
60/1621 (epoch 0.111) train_loss=964.32061768 time/batch=17.39s
61/1621 (epoch 0.113) train_loss=398.43157959 time/batch=7.10s
62/1621 (epoch 0.115) train_loss=414.02648926 time/batch=7.12s
63/1621 (epoch 0.117) train_loss=600.21142578 time/batch=10.48s
64/1621 (epoch 0.118) train_loss=672.65362549 time/batch=11.60s
65/1621 (epoch 0.120) train_loss=130.83187866 time/batch=2.49s
66/1621 (epoch 0.122) train_loss=446.22637939 time/batch=7.93s
67/1621 (epoch 0.124) train_loss=812.63110352 time/batch=16.02s
68/1621 (epoch 0.126) train_loss=235.65708923 time/batch=4.34s
69/1621 (epoch 0.128) train_loss=374.98556519 time/batch=6.68s
70/1621 (epoch 0.129) train_loss=641.80621338 time/batch=11.08s
71/1621 (epoch 0.131) train_loss=592.71197510 time/batch=10.23s
72/1621 (epoch 0.133) train_loss=593.28332520 time/batch=10.19s
73/1621 (epoch 0.135) train_loss=17.71836472 time/batch=0.76s
74/1621 (epoch 0.137) train_loss=543.20745850 time/batch=9.03s
75/1621 (epoch 0.139) train_loss=260.54562378 time/batch=4.66s
76/1621 (epoch 0.141) train_loss=585.41455078 time/batch=10.08s
77/1621 (epoch 0.142) train_loss=405.96359253 time/batch=6.87s
78/1621 (epoch 0.144) train_loss=212.45771790 time/batch=3.57s
79/1621 (epoch 0.146) train_loss=300.59716797 time/batch=5.31s
80/1621 (epoch 0.148) train_loss=384.06619263 time/batch=6.56s
81/1621 (epoch 0.150) train_loss=304.11691284 time/batch=5.50s
82/1621 (epoch 0.152) train_loss=624.73535156 time/batch=10.59s
83/1621 (epoch 0.154) train_loss=585.75897217 time/batch=9.90s
84/1621 (epoch 0.155) train_loss=370.78900146 time/batch=6.47s
85/1621 (epoch 0.157) train_loss=200.62899780 time/batch=3.71s
86/1621 (epoch 0.159) train_loss=301.19943237 time/batch=5.48s
87/1621 (epoch 0.161) train_loss=702.23864746 time/batch=12.27s
88/1621 (epoch 0.163) train_loss=358.49298096 time/batch=6.53s
89/1621 (epoch 0.165) train_loss=654.93969727 time/batch=11.26s
90/1621 (epoch 0.166) train_loss=433.90203857 time/batch=7.56s
91/1621 (epoch 0.168) train_loss=675.16857910 time/batch=11.65s
92/1621 (epoch 0.170) train_loss=244.45658875 time/batch=4.53s
93/1621 (epoch 0.172) train_loss=429.24478149 time/batch=7.83s
94/1621 (epoch 0.174) train_loss=430.01831055 time/batch=7.83s
95/1621 (epoch 0.176) train_loss=791.75939941 time/batch=14.07s
96/1621 (epoch 0.178) train_loss=391.54089355 time/batch=6.90s
97/1621 (epoch 0.179) train_loss=756.39196777 time/batch=13.88s
98/1621 (epoch 0.181) train_loss=179.56895447 time/batch=3.30s
99/1621 (epoch 0.183) train_loss=491.60034180 time/batch=8.75s
100/1621 (epoch 0.185) train_loss=686.98352051 time/batch=11.95s
101/1621 (epoch 0.187) train_loss=548.69287109 time/batch=9.50s
102/1621 (epoch 0.189) train_loss=299.76486206 time/batch=5.55s
103/1621 (epoch 0.191) train_loss=353.02474976 time/batch=6.29s
104/1621 (epoch 0.192) train_loss=575.64111328 time/batch=10.20s
105/1621 (epoch 0.194) train_loss=454.96017456 time/batch=8.10s
106/1621 (epoch 0.196) train_loss=315.71228027 time/batch=5.69s
107/1621 (epoch 0.198) train_loss=168.31678772 time/batch=3.04s
108/1621 (epoch 0.200) train_loss=173.30508423 time/batch=3.39s
109/1621 (epoch 0.202) train_loss=64.65171814 time/batch=2.50s
110/1621 (epoch 0.203) train_loss=139.73399353 time/batch=2.82s
111/1621 (epoch 0.205) train_loss=124.18843842 time/batch=2.57s
112/1621 (epoch 0.207) train_loss=554.26983643 time/batch=9.33s
113/1621 (epoch 0.209) train_loss=558.96014404 time/batch=9.70s
114/1621 (epoch 0.211) train_loss=504.13189697 time/batch=8.92s
115/1621 (epoch 0.213) train_loss=172.33746338 time/batch=3.35s
116/1621 (epoch 0.215) train_loss=162.02020264 time/batch=3.18s
117/1621 (epoch 0.216) train_loss=493.23318481 time/batch=8.58s
118/1621 (epoch 0.218) train_loss=143.34843445 time/batch=2.84s
119/1621 (epoch 0.220) train_loss=446.94400024 time/batch=3.73s
120/1621 (epoch 0.222) train_loss=138.11773682 time/batch=1.27s
121/1621 (epoch 0.224) train_loss=214.49031067 time/batch=1.84s
122/1621 (epoch 0.226) train_loss=192.61178589 time/batch=1.66s
123/1621 (epoch 0.228) train_loss=655.44946289 time/batch=7.27s
124/1621 (epoch 0.229) train_loss=387.69415283 time/batch=5.33s
125/1621 (epoch 0.231) train_loss=699.74975586 time/batch=5.39s
126/1621 (epoch 0.233) train_loss=546.39544678 time/batch=4.12s
127/1621 (epoch 0.235) train_loss=601.31384277 time/batch=4.49s
128/1621 (epoch 0.237) train_loss=495.75009155 time/batch=3.80s
129/1621 (epoch 0.239) train_loss=473.40179443 time/batch=6.63s
130/1621 (epoch 0.240) train_loss=338.17190552 time/batch=6.17s
131/1621 (epoch 0.242) train_loss=417.74008179 time/batch=7.50s
132/1621 (epoch 0.244) train_loss=376.27752686 time/batch=6.58s
133/1621 (epoch 0.246) train_loss=12.42020226 time/batch=0.18s
134/1621 (epoch 0.248) train_loss=635.79815674 time/batch=11.15s
135/1621 (epoch 0.250) train_loss=656.65771484 time/batch=11.36s
136/1621 (epoch 0.252) train_loss=190.19725037 time/batch=3.62s
137/1621 (epoch 0.253) train_loss=272.97119141 time/batch=5.15s
138/1621 (epoch 0.255) train_loss=550.60833740 time/batch=9.78s
139/1621 (epoch 0.257) train_loss=98.81021118 time/batch=2.67s
140/1621 (epoch 0.259) train_loss=570.33801270 time/batch=9.96s
141/1621 (epoch 0.261) train_loss=665.58764648 time/batch=11.49s
142/1621 (epoch 0.263) train_loss=544.54608154 time/batch=9.57s
143/1621 (epoch 0.265) train_loss=605.97418213 time/batch=5.80s
144/1621 (epoch 0.266) train_loss=265.31112671 time/batch=2.11s
145/1621 (epoch 0.268) train_loss=385.91400146 time/batch=3.08s
146/1621 (epoch 0.270) train_loss=182.23672485 time/batch=1.61s
147/1621 (epoch 0.272) train_loss=524.11376953 time/batch=8.37s
148/1621 (epoch 0.274) train_loss=497.38513184 time/batch=8.77s
149/1621 (epoch 0.276) train_loss=557.13854980 time/batch=9.80s
150/1621 (epoch 0.277) train_loss=144.46246338 time/batch=2.96s
151/1621 (epoch 0.279) train_loss=182.28765869 time/batch=3.62s
152/1621 (epoch 0.281) train_loss=339.86279297 time/batch=6.21s
153/1621 (epoch 0.283) train_loss=429.36605835 time/batch=7.67s
154/1621 (epoch 0.285) train_loss=399.21963501 time/batch=4.69s
155/1621 (epoch 0.287) train_loss=484.31079102 time/batch=3.82s
156/1621 (epoch 0.289) train_loss=540.55822754 time/batch=8.80s
157/1621 (epoch 0.290) train_loss=183.73049927 time/batch=3.61s
158/1621 (epoch 0.292) train_loss=259.14132690 time/batch=4.77s
159/1621 (epoch 0.294) train_loss=220.54934692 time/batch=4.27s
160/1621 (epoch 0.296) train_loss=172.98846436 time/batch=3.46s
161/1621 (epoch 0.298) train_loss=354.19528198 time/batch=6.28s
162/1621 (epoch 0.300) train_loss=226.61711121 time/batch=4.41s
163/1621 (epoch 0.302) train_loss=435.69143677 time/batch=7.72s
164/1621 (epoch 0.303) train_loss=600.90289307 time/batch=10.22s
165/1621 (epoch 0.305) train_loss=237.61601257 time/batch=4.49s
166/1621 (epoch 0.307) train_loss=493.46530151 time/batch=8.88s
167/1621 (epoch 0.309) train_loss=257.27059937 time/batch=4.91s
168/1621 (epoch 0.311) train_loss=428.76187134 time/batch=7.70s
169/1621 (epoch 0.313) train_loss=556.48480225 time/batch=9.83s
170/1621 (epoch 0.314) train_loss=268.31185913 time/batch=5.12s
171/1621 (epoch 0.316) train_loss=383.51538086 time/batch=7.15s
172/1621 (epoch 0.318) train_loss=141.20936584 time/batch=2.98s
173/1621 (epoch 0.320) train_loss=512.75860596 time/batch=4.31s
174/1621 (epoch 0.322) train_loss=345.23873901 time/batch=2.66s
175/1621 (epoch 0.324) train_loss=488.96127319 time/batch=3.79s
176/1621 (epoch 0.326) train_loss=200.89729309 time/batch=1.75s
177/1621 (epoch 0.327) train_loss=345.15115356 time/batch=2.79s
178/1621 (epoch 0.329) train_loss=458.65646362 time/batch=3.59s
179/1621 (epoch 0.331) train_loss=661.15814209 time/batch=4.87s
180/1621 (epoch 0.333) train_loss=286.68930054 time/batch=2.33s
181/1621 (epoch 0.335) train_loss=307.60415649 time/batch=2.56s
182/1621 (epoch 0.337) train_loss=358.42910767 time/batch=2.96s
183/1621 (epoch 0.339) train_loss=446.17764282 time/batch=3.47s
184/1621 (epoch 0.340) train_loss=224.32101440 time/batch=1.93s
185/1621 (epoch 0.342) train_loss=210.45469666 time/batch=1.83s
186/1621 (epoch 0.344) train_loss=217.97238159 time/batch=1.91s
187/1621 (epoch 0.346) train_loss=368.11337280 time/batch=2.92s
188/1621 (epoch 0.348) train_loss=503.77383423 time/batch=3.95s
189/1621 (epoch 0.350) train_loss=510.49182129 time/batch=3.88s
190/1621 (epoch 0.351) train_loss=185.11694336 time/batch=1.65s
191/1621 (epoch 0.353) train_loss=521.90557861 time/batch=4.18s
192/1621 (epoch 0.355) train_loss=660.93896484 time/batch=5.12s
193/1621 (epoch 0.357) train_loss=380.36190796 time/batch=2.43s
194/1621 (epoch 0.359) train_loss=576.99353027 time/batch=4.57s
195/1621 (epoch 0.361) train_loss=437.61303711 time/batch=3.40s
196/1621 (epoch 0.363) train_loss=516.96588135 time/batch=4.09s
197/1621 (epoch 0.364) train_loss=168.38920593 time/batch=1.54s
198/1621 (epoch 0.366) train_loss=178.89221191 time/batch=1.70s
199/1621 (epoch 0.368) train_loss=414.86285400 time/batch=3.32s
200/1621 (epoch 0.370) train_loss=340.16668701 time/batch=2.75s
201/1621 (epoch 0.372) train_loss=483.35714722 time/batch=3.69s
202/1621 (epoch 0.374) train_loss=373.06066895 time/batch=3.01s
203/1621 (epoch 0.376) train_loss=374.29965210 time/batch=3.15s
204/1621 (epoch 0.377) train_loss=260.89947510 time/batch=2.28s
205/1621 (epoch 0.379) train_loss=687.04321289 time/batch=5.23s
206/1621 (epoch 0.381) train_loss=528.62042236 time/batch=4.23s
207/1621 (epoch 0.383) train_loss=224.14183044 time/batch=1.98s
208/1621 (epoch 0.385) train_loss=435.60467529 time/batch=3.48s
209/1621 (epoch 0.387) train_loss=521.28717041 time/batch=4.25s
210/1621 (epoch 0.388) train_loss=287.43585205 time/batch=2.45s
211/1621 (epoch 0.390) train_loss=278.73507690 time/batch=2.41s
212/1621 (epoch 0.392) train_loss=165.10949707 time/batch=1.57s
213/1621 (epoch 0.394) train_loss=156.58886719 time/batch=1.45s
214/1621 (epoch 0.396) train_loss=575.41040039 time/batch=4.57s
215/1621 (epoch 0.398) train_loss=211.16528320 time/batch=1.85s
216/1621 (epoch 0.400) train_loss=364.28994751 time/batch=3.00s
217/1621 (epoch 0.401) train_loss=222.69967651 time/batch=2.02s
218/1621 (epoch 0.403) train_loss=188.59526062 time/batch=1.73s
219/1621 (epoch 0.405) train_loss=207.17549133 time/batch=1.87s
220/1621 (epoch 0.407) train_loss=261.73742676 time/batch=2.27s
221/1621 (epoch 0.409) train_loss=442.39718628 time/batch=3.46s
222/1621 (epoch 0.411) train_loss=473.59579468 time/batch=3.62s
223/1621 (epoch 0.413) train_loss=470.94024658 time/batch=3.59s
224/1621 (epoch 0.414) train_loss=225.14396667 time/batch=1.95s
225/1621 (epoch 0.416) train_loss=205.39828491 time/batch=1.85s
226/1621 (epoch 0.418) train_loss=343.57669067 time/batch=2.79s
227/1621 (epoch 0.420) train_loss=208.63531494 time/batch=1.83s
228/1621 (epoch 0.422) train_loss=193.67063904 time/batch=1.76s
229/1621 (epoch 0.424) train_loss=164.75366211 time/batch=1.55s
230/1621 (epoch 0.425) train_loss=322.09420776 time/batch=2.63s
231/1621 (epoch 0.427) train_loss=415.33560181 time/batch=3.21s
232/1621 (epoch 0.429) train_loss=336.95159912 time/batch=2.80s
233/1621 (epoch 0.431) train_loss=267.01123047 time/batch=2.27s
234/1621 (epoch 0.433) train_loss=349.51376343 time/batch=2.89s
235/1621 (epoch 0.435) train_loss=123.45619202 time/batch=1.17s
236/1621 (epoch 0.437) train_loss=590.89440918 time/batch=4.62s
237/1621 (epoch 0.438) train_loss=143.46075439 time/batch=1.37s
238/1621 (epoch 0.440) train_loss=463.33148193 time/batch=3.72s
239/1621 (epoch 0.442) train_loss=441.14508057 time/batch=3.41s
240/1621 (epoch 0.444) train_loss=344.95568848 time/batch=2.77s
241/1621 (epoch 0.446) train_loss=310.56069946 time/batch=2.60s
242/1621 (epoch 0.448) train_loss=476.57150269 time/batch=4.08s
243/1621 (epoch 0.450) train_loss=292.71295166 time/batch=2.87s
244/1621 (epoch 0.451) train_loss=259.63998413 time/batch=5.09s
245/1621 (epoch 0.453) train_loss=180.35919189 time/batch=3.78s
246/1621 (epoch 0.455) train_loss=234.94006348 time/batch=4.67s
247/1621 (epoch 0.457) train_loss=323.42016602 time/batch=6.14s
248/1621 (epoch 0.459) train_loss=313.64541626 time/batch=5.92s
249/1621 (epoch 0.461) train_loss=397.66015625 time/batch=7.39s
250/1621 (epoch 0.462) train_loss=398.18164062 time/batch=7.26s
251/1621 (epoch 0.464) train_loss=458.22460938 time/batch=8.28s
252/1621 (epoch 0.466) train_loss=198.21362305 time/batch=3.95s
253/1621 (epoch 0.468) train_loss=208.65437317 time/batch=4.26s
254/1621 (epoch 0.470) train_loss=683.35198975 time/batch=12.29s
255/1621 (epoch 0.472) train_loss=420.43365479 time/batch=7.47s
256/1621 (epoch 0.474) train_loss=172.14457703 time/batch=3.54s
257/1621 (epoch 0.475) train_loss=234.95802307 time/batch=4.65s
258/1621 (epoch 0.477) train_loss=360.81295776 time/batch=6.80s
259/1621 (epoch 0.479) train_loss=475.55566406 time/batch=8.65s
260/1621 (epoch 0.481) train_loss=230.51734924 time/batch=4.57s
261/1621 (epoch 0.483) train_loss=492.84188843 time/batch=9.06s
262/1621 (epoch 0.485) train_loss=431.23150635 time/batch=7.81s
263/1621 (epoch 0.487) train_loss=482.22134399 time/batch=8.82s
264/1621 (epoch 0.488) train_loss=363.67486572 time/batch=6.74s
265/1621 (epoch 0.490) train_loss=496.41558838 time/batch=9.11s
266/1621 (epoch 0.492) train_loss=339.96359253 time/batch=6.26s
267/1621 (epoch 0.494) train_loss=250.37455750 time/batch=4.74s
268/1621 (epoch 0.496) train_loss=346.99398804 time/batch=6.43s
269/1621 (epoch 0.498) train_loss=376.67974854 time/batch=6.79s
270/1621 (epoch 0.499) train_loss=276.31378174 time/batch=5.32s
271/1621 (epoch 0.501) train_loss=248.72514343 time/batch=4.72s
272/1621 (epoch 0.503) train_loss=384.89300537 time/batch=7.20s
273/1621 (epoch 0.505) train_loss=351.89282227 time/batch=6.54s
274/1621 (epoch 0.507) train_loss=192.08029175 time/batch=3.97s
275/1621 (epoch 0.509) train_loss=378.42041016 time/batch=4.70s
276/1621 (epoch 0.511) train_loss=480.96313477 time/batch=4.08s
277/1621 (epoch 0.512) train_loss=287.50689697 time/batch=2.48s
278/1621 (epoch 0.514) train_loss=638.02545166 time/batch=5.30s
279/1621 (epoch 0.516) train_loss=375.17813110 time/batch=3.04s
280/1621 (epoch 0.518) train_loss=194.84799194 time/batch=1.79s
281/1621 (epoch 0.520) train_loss=383.00161743 time/batch=3.15s
282/1621 (epoch 0.522) train_loss=509.15960693 time/batch=4.16s
283/1621 (epoch 0.524) train_loss=392.49890137 time/batch=3.19s
284/1621 (epoch 0.525) train_loss=191.13342285 time/batch=1.78s
285/1621 (epoch 0.527) train_loss=170.56497192 time/batch=1.69s
286/1621 (epoch 0.529) train_loss=219.63420105 time/batch=1.94s
287/1621 (epoch 0.531) train_loss=446.16397095 time/batch=3.56s
288/1621 (epoch 0.533) train_loss=350.42831421 time/batch=2.97s
289/1621 (epoch 0.535) train_loss=251.12442017 time/batch=2.16s
290/1621 (epoch 0.536) train_loss=246.08190918 time/batch=2.16s
291/1621 (epoch 0.538) train_loss=401.95489502 time/batch=3.18s
292/1621 (epoch 0.540) train_loss=149.95965576 time/batch=1.46s
293/1621 (epoch 0.542) train_loss=462.10305786 time/batch=3.74s
294/1621 (epoch 0.544) train_loss=397.01428223 time/batch=3.24s
295/1621 (epoch 0.546) train_loss=423.26995850 time/batch=3.42s
296/1621 (epoch 0.548) train_loss=237.27508545 time/batch=2.09s
297/1621 (epoch 0.549) train_loss=287.31918335 time/batch=2.43s
298/1621 (epoch 0.551) train_loss=418.67117310 time/batch=3.36s
299/1621 (epoch 0.553) train_loss=257.10845947 time/batch=2.17s
300/1621 (epoch 0.555) train_loss=194.98036194 time/batch=1.82s
301/1621 (epoch 0.557) train_loss=199.54203796 time/batch=1.80s
302/1621 (epoch 0.559) train_loss=269.22128296 time/batch=2.36s
303/1621 (epoch 0.561) train_loss=201.10667419 time/batch=1.80s
304/1621 (epoch 0.562) train_loss=437.26080322 time/batch=3.44s
305/1621 (epoch 0.564) train_loss=461.86102295 time/batch=3.55s
306/1621 (epoch 0.566) train_loss=454.12442017 time/batch=3.36s
307/1621 (epoch 0.568) train_loss=338.88247681 time/batch=2.76s
308/1621 (epoch 0.570) train_loss=449.70193481 time/batch=3.69s
309/1621 (epoch 0.572) train_loss=477.37365723 time/batch=3.77s
310/1621 (epoch 0.573) train_loss=217.57369995 time/batch=1.92s
311/1621 (epoch 0.575) train_loss=282.18240356 time/batch=2.51s
312/1621 (epoch 0.577) train_loss=191.90573120 time/batch=1.80s
313/1621 (epoch 0.579) train_loss=220.78727722 time/batch=2.05s
314/1621 (epoch 0.581) train_loss=320.08303833 time/batch=2.71s
315/1621 (epoch 0.583) train_loss=333.76876831 time/batch=2.79s
316/1621 (epoch 0.585) train_loss=383.69250488 time/batch=3.18s
317/1621 (epoch 0.586) train_loss=304.12722778 time/batch=2.56s
318/1621 (epoch 0.588) train_loss=225.70980835 time/batch=2.05s
319/1621 (epoch 0.590) train_loss=232.60598755 time/batch=2.11s
320/1621 (epoch 0.592) train_loss=476.69256592 time/batch=3.65s
321/1621 (epoch 0.594) train_loss=189.46328735 time/batch=1.72s
322/1621 (epoch 0.596) train_loss=535.69635010 time/batch=4.09s
323/1621 (epoch 0.598) train_loss=358.81289673 time/batch=2.96s
324/1621 (epoch 0.599) train_loss=380.14041138 time/batch=3.08s
325/1621 (epoch 0.601) train_loss=442.35263062 time/batch=3.29s
326/1621 (epoch 0.603) train_loss=360.01522827 time/batch=2.84s
327/1621 (epoch 0.605) train_loss=575.85742188 time/batch=4.43s
328/1621 (epoch 0.607) train_loss=385.96374512 time/batch=3.22s
329/1621 (epoch 0.609) train_loss=456.48013306 time/batch=3.63s
330/1621 (epoch 0.610) train_loss=327.21517944 time/batch=2.73s
331/1621 (epoch 0.612) train_loss=532.15155029 time/batch=4.35s
332/1621 (epoch 0.614) train_loss=151.43630981 time/batch=1.43s
333/1621 (epoch 0.616) train_loss=200.92189026 time/batch=1.93s
334/1621 (epoch 0.618) train_loss=185.77217102 time/batch=1.73s
335/1621 (epoch 0.620) train_loss=499.60330200 time/batch=4.08s
336/1621 (epoch 0.622) train_loss=538.76354980 time/batch=4.31s
337/1621 (epoch 0.623) train_loss=389.59429932 time/batch=3.14s
338/1621 (epoch 0.625) train_loss=307.92257690 time/batch=2.56s
339/1621 (epoch 0.627) train_loss=344.18222046 time/batch=2.85s
340/1621 (epoch 0.629) train_loss=440.15173340 time/batch=3.34s
341/1621 (epoch 0.631) train_loss=246.51045227 time/batch=2.18s
342/1621 (epoch 0.633) train_loss=157.61808777 time/batch=1.51s
343/1621 (epoch 0.635) train_loss=283.81350708 time/batch=2.46s
344/1621 (epoch 0.636) train_loss=297.95727539 time/batch=2.55s
345/1621 (epoch 0.638) train_loss=363.14559937 time/batch=3.10s
346/1621 (epoch 0.640) train_loss=320.55294800 time/batch=2.79s
347/1621 (epoch 0.642) train_loss=269.06018066 time/batch=2.39s
348/1621 (epoch 0.644) train_loss=203.53251648 time/batch=1.86s
349/1621 (epoch 0.646) train_loss=431.99661255 time/batch=3.56s
350/1621 (epoch 0.647) train_loss=385.40261841 time/batch=3.25s
351/1621 (epoch 0.649) train_loss=211.75837708 time/batch=1.89s
352/1621 (epoch 0.651) train_loss=345.33572388 time/batch=2.93s
353/1621 (epoch 0.653) train_loss=266.35815430 time/batch=2.34s
354/1621 (epoch 0.655) train_loss=467.24450684 time/batch=3.73s
355/1621 (epoch 0.657) train_loss=448.26962280 time/batch=3.77s
356/1621 (epoch 0.659) train_loss=190.84814453 time/batch=1.76s
357/1621 (epoch 0.660) train_loss=438.26589966 time/batch=3.57s
358/1621 (epoch 0.662) train_loss=412.40249634 time/batch=3.41s
359/1621 (epoch 0.664) train_loss=293.51684570 time/batch=2.51s
360/1621 (epoch 0.666) train_loss=310.02026367 time/batch=2.65s
361/1621 (epoch 0.668) train_loss=329.76272583 time/batch=2.84s
362/1621 (epoch 0.670) train_loss=219.03553772 time/batch=2.01s
363/1621 (epoch 0.672) train_loss=318.54684448 time/batch=2.64s
364/1621 (epoch 0.673) train_loss=194.05250549 time/batch=1.84s
365/1621 (epoch 0.675) train_loss=280.53778076 time/batch=2.44s
366/1621 (epoch 0.677) train_loss=597.14520264 time/batch=4.82s
367/1621 (epoch 0.679) train_loss=229.85630798 time/batch=1.97s
368/1621 (epoch 0.681) train_loss=178.08666992 time/batch=1.69s
369/1621 (epoch 0.683) train_loss=428.76437378 time/batch=3.42s
370/1621 (epoch 0.684) train_loss=298.90972900 time/batch=2.54s
371/1621 (epoch 0.686) train_loss=221.57797241 time/batch=1.97s
372/1621 (epoch 0.688) train_loss=391.92852783 time/batch=3.34s
373/1621 (epoch 0.690) train_loss=365.26068115 time/batch=3.09s
374/1621 (epoch 0.692) train_loss=400.15411377 time/batch=3.26s
375/1621 (epoch 0.694) train_loss=464.92205811 time/batch=3.83s
376/1621 (epoch 0.696) train_loss=236.72311401 time/batch=2.09s
377/1621 (epoch 0.697) train_loss=370.05285645 time/batch=3.14s
378/1621 (epoch 0.699) train_loss=349.58871460 time/batch=2.96s
379/1621 (epoch 0.701) train_loss=164.46739197 time/batch=1.54s
380/1621 (epoch 0.703) train_loss=416.65682983 time/batch=3.43s
381/1621 (epoch 0.705) train_loss=318.96176147 time/batch=2.76s
382/1621 (epoch 0.707) train_loss=454.33444214 time/batch=3.63s
383/1621 (epoch 0.709) train_loss=473.56298828 time/batch=3.84s
384/1621 (epoch 0.710) train_loss=483.90582275 time/batch=3.81s
385/1621 (epoch 0.712) train_loss=440.59527588 time/batch=3.71s
386/1621 (epoch 0.714) train_loss=405.61788940 time/batch=3.36s
387/1621 (epoch 0.716) train_loss=461.78158569 time/batch=3.84s
388/1621 (epoch 0.718) train_loss=260.15219116 time/batch=2.32s
389/1621 (epoch 0.720) train_loss=223.09333801 time/batch=2.05s
