vocabulary size: 7551
n tunes: 18184
n train tunes: 17288.0
n validation tunes: 896.0
59/1620 (epoch 0.109) train_loss=593.73547363 time/batch=18.59s
60/1620 (epoch 0.111) train_loss=44.45137787 time/batch=4.79s
61/1620 (epoch 0.113) train_loss=259.28161621 time/batch=8.37s
62/1620 (epoch 0.115) train_loss=838.41412354 time/batch=26.95s
63/1620 (epoch 0.117) train_loss=223.31489563 time/batch=6.70s
64/1620 (epoch 0.118) train_loss=938.29724121 time/batch=30.72s
65/1620 (epoch 0.120) train_loss=646.46856689 time/batch=20.45s
66/1620 (epoch 0.122) train_loss=749.22540283 time/batch=23.67s
67/1620 (epoch 0.124) train_loss=418.82702637 time/batch=13.28s
68/1620 (epoch 0.126) train_loss=340.35604858 time/batch=10.94s
69/1620 (epoch 0.128) train_loss=874.43225098 time/batch=28.33s
70/1620 (epoch 0.130) train_loss=677.00469971 time/batch=21.59s
71/1620 (epoch 0.131) train_loss=317.90780640 time/batch=10.38s
72/1620 (epoch 0.133) train_loss=836.64660645 time/batch=27.31s
73/1620 (epoch 0.135) train_loss=409.55923462 time/batch=13.29s
74/1620 (epoch 0.137) train_loss=560.84924316 time/batch=18.11s
75/1620 (epoch 0.139) train_loss=979.69097900 time/batch=45.53s
76/1620 (epoch 0.141) train_loss=881.70904541 time/batch=29.06s
77/1620 (epoch 0.143) train_loss=493.24777222 time/batch=15.89s
78/1620 (epoch 0.144) train_loss=436.15457153 time/batch=14.41s
79/1620 (epoch 0.146) train_loss=753.81011963 time/batch=24.06s
80/1620 (epoch 0.148) train_loss=843.08605957 time/batch=25.81s
81/1620 (epoch 0.150) train_loss=608.07312012 time/batch=19.83s
82/1620 (epoch 0.152) train_loss=704.05157471 time/batch=22.87s
83/1620 (epoch 0.154) train_loss=326.88723755 time/batch=10.67s
84/1620 (epoch 0.155) train_loss=409.35180664 time/batch=13.54s
85/1620 (epoch 0.157) train_loss=776.21588135 time/batch=25.27s
86/1620 (epoch 0.159) train_loss=590.85290527 time/batch=19.42s
87/1620 (epoch 0.161) train_loss=344.34005737 time/batch=11.28s
88/1620 (epoch 0.163) train_loss=788.11218262 time/batch=32.75s
89/1620 (epoch 0.165) train_loss=647.45184326 time/batch=20.98s
90/1620 (epoch 0.167) train_loss=217.15534973 time/batch=7.11s
91/1620 (epoch 0.168) train_loss=521.48144531 time/batch=16.99s
92/1620 (epoch 0.170) train_loss=397.35980225 time/batch=12.78s
93/1620 (epoch 0.172) train_loss=476.56124878 time/batch=15.96s
94/1620 (epoch 0.174) train_loss=437.64691162 time/batch=14.75s
95/1620 (epoch 0.176) train_loss=301.74368286 time/batch=10.02s
96/1620 (epoch 0.178) train_loss=497.79983521 time/batch=16.70s
97/1620 (epoch 0.180) train_loss=681.60345459 time/batch=21.99s
98/1620 (epoch 0.181) train_loss=517.88140869 time/batch=16.80s
99/1620 (epoch 0.183) train_loss=250.29739380 time/batch=8.48s
100/1620 (epoch 0.185) train_loss=407.04522705 time/batch=13.43s
101/1620 (epoch 0.187) train_loss=264.03305054 time/batch=8.12s
102/1620 (epoch 0.189) train_loss=444.15432739 time/batch=7.99s
103/1620 (epoch 0.191) train_loss=552.98052979 time/batch=18.28s
104/1620 (epoch 0.193) train_loss=561.32055664 time/batch=18.48s
105/1620 (epoch 0.194) train_loss=327.77905273 time/batch=11.01s
106/1620 (epoch 0.196) train_loss=618.07055664 time/batch=20.67s
107/1620 (epoch 0.198) train_loss=483.24081421 time/batch=15.89s
108/1620 (epoch 0.200) train_loss=501.58288574 time/batch=16.34s
109/1620 (epoch 0.202) train_loss=690.29492188 time/batch=23.15s
110/1620 (epoch 0.204) train_loss=720.03295898 time/batch=23.72s
111/1620 (epoch 0.205) train_loss=550.30725098 time/batch=17.45s
112/1620 (epoch 0.207) train_loss=316.35647583 time/batch=10.64s
113/1620 (epoch 0.209) train_loss=681.12054443 time/batch=222.89s
114/1620 (epoch 0.211) train_loss=635.19183350 time/batch=20.38s
115/1620 (epoch 0.213) train_loss=515.72753906 time/batch=16.95s
116/1620 (epoch 0.215) train_loss=693.56103516 time/batch=22.48s
117/1620 (epoch 0.217) train_loss=688.21838379 time/batch=22.61s
118/1620 (epoch 0.218) train_loss=383.18978882 time/batch=12.60s
119/1620 (epoch 0.220) train_loss=579.79119873 time/batch=19.31s
120/1620 (epoch 0.222) train_loss=335.62606812 time/batch=11.01s
121/1620 (epoch 0.224) train_loss=676.09539795 time/batch=21.94s
122/1620 (epoch 0.226) train_loss=464.77087402 time/batch=15.21s
123/1620 (epoch 0.228) train_loss=264.52914429 time/batch=8.89s
124/1620 (epoch 0.230) train_loss=369.06411743 time/batch=12.35s
125/1620 (epoch 0.231) train_loss=310.40722656 time/batch=15.08s
126/1620 (epoch 0.233) train_loss=451.84204102 time/batch=14.93s
127/1620 (epoch 0.235) train_loss=378.75811768 time/batch=12.75s
128/1620 (epoch 0.237) train_loss=703.58068848 time/batch=23.23s
129/1620 (epoch 0.239) train_loss=675.51776123 time/batch=21.71s
130/1620 (epoch 0.241) train_loss=429.49282837 time/batch=14.52s
131/1620 (epoch 0.242) train_loss=267.18380737 time/batch=9.15s
132/1620 (epoch 0.244) train_loss=372.31182861 time/batch=12.56s
133/1620 (epoch 0.246) train_loss=824.81994629 time/batch=27.50s
134/1620 (epoch 0.248) train_loss=459.68536377 time/batch=15.26s
135/1620 (epoch 0.250) train_loss=501.57815552 time/batch=16.56s
136/1620 (epoch 0.252) train_loss=773.92291260 time/batch=26.11s
137/1620 (epoch 0.254) train_loss=521.87945557 time/batch=17.24s
138/1620 (epoch 0.255) train_loss=526.06256104 time/batch=17.22s
139/1620 (epoch 0.257) train_loss=734.00170898 time/batch=29.35s
140/1620 (epoch 0.259) train_loss=477.07504272 time/batch=15.45s
141/1620 (epoch 0.261) train_loss=885.42315674 time/batch=28.65s
142/1620 (epoch 0.263) train_loss=259.19628906 time/batch=8.34s
143/1620 (epoch 0.265) train_loss=576.04223633 time/batch=19.13s
144/1620 (epoch 0.267) train_loss=797.66345215 time/batch=26.34s
145/1620 (epoch 0.268) train_loss=506.02243042 time/batch=16.75s
146/1620 (epoch 0.270) train_loss=402.23541260 time/batch=12.72s
147/1620 (epoch 0.272) train_loss=436.79898071 time/batch=14.18s
148/1620 (epoch 0.274) train_loss=668.40972900 time/batch=21.93s
149/1620 (epoch 0.276) train_loss=551.57238770 time/batch=17.67s
150/1620 (epoch 0.278) train_loss=382.27160645 time/batch=12.95s
151/1620 (epoch 0.280) train_loss=229.44056702 time/batch=7.82s
152/1620 (epoch 0.281) train_loss=411.24865723 time/batch=13.90s
153/1620 (epoch 0.283) train_loss=191.11283875 time/batch=6.64s
154/1620 (epoch 0.285) train_loss=444.84329224 time/batch=14.41s
155/1620 (epoch 0.287) train_loss=349.75610352 time/batch=12.04s
156/1620 (epoch 0.289) train_loss=653.67620850 time/batch=22.12s
157/1620 (epoch 0.291) train_loss=46.35516357 time/batch=4.89s
158/1620 (epoch 0.292) train_loss=196.82131958 time/batch=6.88s
159/1620 (epoch 0.294) train_loss=592.48016357 time/batch=19.78s
160/1620 (epoch 0.296) train_loss=575.98510742 time/batch=18.84s
161/1620 (epoch 0.298) train_loss=229.95806885 time/batch=7.94s
162/1620 (epoch 0.300) train_loss=223.12242126 time/batch=7.52s
163/1620 (epoch 0.302) train_loss=545.17425537 time/batch=18.35s
164/1620 (epoch 0.304) train_loss=206.10720825 time/batch=6.98s
165/1620 (epoch 0.305) train_loss=201.66755676 time/batch=7.20s
166/1620 (epoch 0.307) train_loss=282.55728149 time/batch=9.75s
167/1620 (epoch 0.309) train_loss=249.90042114 time/batch=8.91s
168/1620 (epoch 0.311) train_loss=716.81451416 time/batch=23.38s
169/1620 (epoch 0.313) train_loss=453.90444946 time/batch=15.22s
170/1620 (epoch 0.315) train_loss=817.47070312 time/batch=27.49s
171/1620 (epoch 0.317) train_loss=644.18328857 time/batch=20.97s
172/1620 (epoch 0.318) train_loss=585.71374512 time/batch=7.91s
173/1620 (epoch 0.320) train_loss=515.62359619 time/batch=7.46s
174/1620 (epoch 0.322) train_loss=393.88568115 time/batch=5.75s
175/1620 (epoch 0.324) train_loss=487.15661621 time/batch=6.80s
176/1620 (epoch 0.326) train_loss=436.65692139 time/batch=6.08s
177/1620 (epoch 0.328) train_loss=82.56620026 time/batch=2.60s
178/1620 (epoch 0.329) train_loss=724.81677246 time/batch=10.32s
179/1620 (epoch 0.331) train_loss=259.93023682 time/batch=4.56s
180/1620 (epoch 0.333) train_loss=350.96124268 time/batch=11.72s
181/1620 (epoch 0.335) train_loss=675.41021729 time/batch=21.17s
182/1620 (epoch 0.337) train_loss=177.82885742 time/batch=6.20s
183/1620 (epoch 0.339) train_loss=668.25671387 time/batch=21.46s
184/1620 (epoch 0.341) train_loss=766.40356445 time/batch=25.42s
185/1620 (epoch 0.342) train_loss=609.29394531 time/batch=20.50s
186/1620 (epoch 0.344) train_loss=309.04397583 time/batch=10.74s
187/1620 (epoch 0.346) train_loss=319.10671997 time/batch=11.01s
188/1620 (epoch 0.348) train_loss=470.36352539 time/batch=15.29s
189/1620 (epoch 0.350) train_loss=247.09671021 time/batch=8.62s
190/1620 (epoch 0.352) train_loss=618.53338623 time/batch=11.93s
191/1620 (epoch 0.354) train_loss=479.40567017 time/batch=7.14s
192/1620 (epoch 0.355) train_loss=641.06890869 time/batch=8.93s
193/1620 (epoch 0.357) train_loss=244.30194092 time/batch=3.60s
194/1620 (epoch 0.359) train_loss=397.90505981 time/batch=5.75s
195/1620 (epoch 0.361) train_loss=495.11996460 time/batch=7.10s
196/1620 (epoch 0.363) train_loss=470.06060791 time/batch=6.81s
197/1620 (epoch 0.365) train_loss=561.46032715 time/batch=7.79s
198/1620 (epoch 0.366) train_loss=617.71362305 time/batch=8.85s
199/1620 (epoch 0.368) train_loss=307.44332886 time/batch=4.49s
200/1620 (epoch 0.370) train_loss=283.66329956 time/batch=4.17s
201/1620 (epoch 0.372) train_loss=232.33923340 time/batch=3.43s
202/1620 (epoch 0.374) train_loss=400.79074097 time/batch=5.80s
203/1620 (epoch 0.376) train_loss=289.64096069 time/batch=4.29s
204/1620 (epoch 0.378) train_loss=485.61175537 time/batch=6.96s
205/1620 (epoch 0.379) train_loss=703.75463867 time/batch=9.63s
206/1620 (epoch 0.381) train_loss=304.63040161 time/batch=4.28s
207/1620 (epoch 0.383) train_loss=568.93945312 time/batch=8.10s
208/1620 (epoch 0.385) train_loss=499.64242554 time/batch=7.31s
209/1620 (epoch 0.387) train_loss=678.68402100 time/batch=9.63s
210/1620 (epoch 0.389) train_loss=449.90509033 time/batch=6.73s
211/1620 (epoch 0.391) train_loss=204.14857483 time/batch=3.12s
212/1620 (epoch 0.392) train_loss=421.95849609 time/batch=6.20s
213/1620 (epoch 0.394) train_loss=573.31866455 time/batch=8.53s
214/1620 (epoch 0.396) train_loss=562.91430664 time/batch=8.18s
215/1620 (epoch 0.398) train_loss=330.89102173 time/batch=4.88s
216/1620 (epoch 0.400) train_loss=272.11380005 time/batch=3.79s
217/1620 (epoch 0.402) train_loss=411.05035400 time/batch=6.00s
218/1620 (epoch 0.404) train_loss=515.64746094 time/batch=7.74s
219/1620 (epoch 0.405) train_loss=783.23388672 time/batch=11.59s
220/1620 (epoch 0.407) train_loss=373.16860962 time/batch=5.33s
221/1620 (epoch 0.409) train_loss=428.43676758 time/batch=6.28s
222/1620 (epoch 0.411) train_loss=507.23779297 time/batch=7.12s
223/1620 (epoch 0.413) train_loss=283.86276245 time/batch=4.10s
224/1620 (epoch 0.415) train_loss=262.62634277 time/batch=3.92s
225/1620 (epoch 0.416) train_loss=275.65707397 time/batch=4.14s
226/1620 (epoch 0.418) train_loss=429.77493286 time/batch=6.12s
227/1620 (epoch 0.420) train_loss=562.51672363 time/batch=8.04s
228/1620 (epoch 0.422) train_loss=232.04487610 time/batch=3.48s
229/1620 (epoch 0.424) train_loss=632.96478271 time/batch=8.69s
230/1620 (epoch 0.426) train_loss=816.10595703 time/batch=11.92s
231/1620 (epoch 0.428) train_loss=343.25585938 time/batch=4.98s
232/1620 (epoch 0.429) train_loss=699.01776123 time/batch=9.88s
233/1620 (epoch 0.431) train_loss=598.34820557 time/batch=8.24s
234/1620 (epoch 0.433) train_loss=226.29838562 time/batch=3.46s
235/1620 (epoch 0.435) train_loss=403.54504395 time/batch=5.81s
236/1620 (epoch 0.437) train_loss=483.69204712 time/batch=6.82s
237/1620 (epoch 0.439) train_loss=530.19488525 time/batch=7.53s
238/1620 (epoch 0.441) train_loss=451.68933105 time/batch=6.29s
239/1620 (epoch 0.442) train_loss=326.78701782 time/batch=4.92s
240/1620 (epoch 0.444) train_loss=265.39523315 time/batch=3.73s
241/1620 (epoch 0.446) train_loss=658.20709229 time/batch=8.92s
242/1620 (epoch 0.448) train_loss=281.04132080 time/batch=4.08s
243/1620 (epoch 0.450) train_loss=198.04426575 time/batch=3.04s
244/1620 (epoch 0.452) train_loss=803.22552490 time/batch=11.84s
245/1620 (epoch 0.453) train_loss=477.97781372 time/batch=6.76s
246/1620 (epoch 0.455) train_loss=311.35906982 time/batch=4.58s
247/1620 (epoch 0.457) train_loss=279.61801147 time/batch=4.11s
248/1620 (epoch 0.459) train_loss=681.85742188 time/batch=9.52s
249/1620 (epoch 0.461) train_loss=383.62579346 time/batch=5.50s
250/1620 (epoch 0.463) train_loss=350.01651001 time/batch=5.27s
251/1620 (epoch 0.465) train_loss=345.76821899 time/batch=5.26s
252/1620 (epoch 0.466) train_loss=409.89245605 time/batch=6.04s
253/1620 (epoch 0.468) train_loss=533.44433594 time/batch=8.02s
254/1620 (epoch 0.470) train_loss=366.79406738 time/batch=5.39s
255/1620 (epoch 0.472) train_loss=695.54907227 time/batch=9.90s
256/1620 (epoch 0.474) train_loss=776.48791504 time/batch=10.69s
257/1620 (epoch 0.476) train_loss=319.94927979 time/batch=4.70s
258/1620 (epoch 0.478) train_loss=476.81796265 time/batch=6.69s
259/1620 (epoch 0.479) train_loss=372.85928345 time/batch=5.51s
260/1620 (epoch 0.481) train_loss=263.54708862 time/batch=3.98s
261/1620 (epoch 0.483) train_loss=417.76873779 time/batch=6.06s
262/1620 (epoch 0.485) train_loss=291.59384155 time/batch=4.27s
263/1620 (epoch 0.487) train_loss=242.73194885 time/batch=3.68s
264/1620 (epoch 0.489) train_loss=264.45593262 time/batch=3.93s
265/1620 (epoch 0.491) train_loss=320.97012329 time/batch=4.94s
266/1620 (epoch 0.492) train_loss=515.21051025 time/batch=7.05s
267/1620 (epoch 0.494) train_loss=520.51342773 time/batch=7.33s
268/1620 (epoch 0.496) train_loss=279.32180786 time/batch=4.11s
269/1620 (epoch 0.498) train_loss=266.41558838 time/batch=3.98s
270/1620 (epoch 0.500) train_loss=402.33441162 time/batch=5.78s
271/1620 (epoch 0.502) train_loss=261.49731445 time/batch=3.95s
272/1620 (epoch 0.503) train_loss=209.59945679 time/batch=3.09s
273/1620 (epoch 0.505) train_loss=252.38795471 time/batch=3.83s
274/1620 (epoch 0.507) train_loss=263.24545288 time/batch=5.86s
275/1620 (epoch 0.509) train_loss=486.35498047 time/batch=6.72s
276/1620 (epoch 0.511) train_loss=627.68981934 time/batch=88.57s
277/1620 (epoch 0.513) train_loss=335.99298096 time/batch=4.85s
278/1620 (epoch 0.515) train_loss=417.03344727 time/batch=5.99s
279/1620 (epoch 0.516) train_loss=210.15197754 time/batch=3.09s
280/1620 (epoch 0.518) train_loss=500.20028687 time/batch=7.09s
281/1620 (epoch 0.520) train_loss=350.69152832 time/batch=5.16s
282/1620 (epoch 0.522) train_loss=213.00144958 time/batch=3.19s
283/1620 (epoch 0.524) train_loss=570.62408447 time/batch=7.82s
284/1620 (epoch 0.526) train_loss=496.79348755 time/batch=7.06s
285/1620 (epoch 0.528) train_loss=366.52694702 time/batch=5.42s
286/1620 (epoch 0.529) train_loss=587.85174561 time/batch=8.24s
287/1620 (epoch 0.531) train_loss=319.85848999 time/batch=4.70s
288/1620 (epoch 0.533) train_loss=245.17893982 time/batch=3.68s
289/1620 (epoch 0.535) train_loss=288.81799316 time/batch=4.44s
290/1620 (epoch 0.537) train_loss=386.37387085 time/batch=5.55s
291/1620 (epoch 0.539) train_loss=368.48565674 time/batch=5.34s
292/1620 (epoch 0.540) train_loss=470.67376709 time/batch=6.91s
293/1620 (epoch 0.542) train_loss=454.76855469 time/batch=6.79s
294/1620 (epoch 0.544) train_loss=520.13287354 time/batch=7.75s
295/1620 (epoch 0.546) train_loss=249.74996948 time/batch=3.84s
296/1620 (epoch 0.548) train_loss=266.61129761 time/batch=4.03s
297/1620 (epoch 0.550) train_loss=478.48147583 time/batch=6.88s
298/1620 (epoch 0.552) train_loss=238.76586914 time/batch=3.76s
299/1620 (epoch 0.553) train_loss=285.52908325 time/batch=4.39s
300/1620 (epoch 0.555) train_loss=426.69757080 time/batch=6.24s
301/1620 (epoch 0.557) train_loss=571.74938965 time/batch=8.63s
302/1620 (epoch 0.559) train_loss=298.05551147 time/batch=4.52s
303/1620 (epoch 0.561) train_loss=627.37542725 time/batch=9.12s
304/1620 (epoch 0.563) train_loss=499.04931641 time/batch=7.16s
305/1620 (epoch 0.565) train_loss=592.26049805 time/batch=8.13s
306/1620 (epoch 0.566) train_loss=425.95806885 time/batch=6.08s
307/1620 (epoch 0.568) train_loss=699.30255127 time/batch=10.49s
308/1620 (epoch 0.570) train_loss=602.62725830 time/batch=8.30s
309/1620 (epoch 0.572) train_loss=506.59060669 time/batch=7.08s
310/1620 (epoch 0.574) train_loss=396.71911621 time/batch=5.66s
311/1620 (epoch 0.576) train_loss=319.44696045 time/batch=4.47s
312/1620 (epoch 0.578) train_loss=426.01223755 time/batch=5.81s
313/1620 (epoch 0.579) train_loss=458.37704468 time/batch=6.18s
314/1620 (epoch 0.581) train_loss=311.23239136 time/batch=4.39s
315/1620 (epoch 0.583) train_loss=445.94815063 time/batch=6.39s
316/1620 (epoch 0.585) train_loss=444.19287109 time/batch=5.86s
317/1620 (epoch 0.587) train_loss=277.78918457 time/batch=3.81s
318/1620 (epoch 0.589) train_loss=249.68930054 time/batch=3.68s
319/1620 (epoch 0.590) train_loss=371.30023193 time/batch=5.14s
320/1620 (epoch 0.592) train_loss=435.19448853 time/batch=6.26s
321/1620 (epoch 0.594) train_loss=326.08270264 time/batch=4.71s
322/1620 (epoch 0.596) train_loss=256.35073853 time/batch=3.92s
323/1620 (epoch 0.598) train_loss=375.18161011 time/batch=5.44s
324/1620 (epoch 0.600) train_loss=604.32562256 time/batch=8.46s
325/1620 (epoch 0.602) train_loss=271.86874390 time/batch=3.84s
326/1620 (epoch 0.603) train_loss=228.29908752 time/batch=3.40s
327/1620 (epoch 0.605) train_loss=258.51992798 time/batch=3.93s
328/1620 (epoch 0.607) train_loss=272.01516724 time/batch=4.05s
329/1620 (epoch 0.609) train_loss=521.04705811 time/batch=7.28s
330/1620 (epoch 0.611) train_loss=299.39678955 time/batch=4.43s
331/1620 (epoch 0.613) train_loss=311.81350708 time/batch=4.42s
332/1620 (epoch 0.615) train_loss=455.39239502 time/batch=6.54s
333/1620 (epoch 0.616) train_loss=480.89791870 time/batch=6.86s
334/1620 (epoch 0.618) train_loss=563.34802246 time/batch=7.87s
335/1620 (epoch 0.620) train_loss=453.39672852 time/batch=6.64s
336/1620 (epoch 0.622) train_loss=394.74575806 time/batch=6.71s
337/1620 (epoch 0.624) train_loss=475.76330566 time/batch=16.12s
338/1620 (epoch 0.626) train_loss=286.84640503 time/batch=10.04s
339/1620 (epoch 0.627) train_loss=333.65905762 time/batch=11.77s
340/1620 (epoch 0.629) train_loss=497.51757812 time/batch=16.12s
341/1620 (epoch 0.631) train_loss=302.25997925 time/batch=10.68s
342/1620 (epoch 0.633) train_loss=244.29826355 time/batch=8.88s
343/1620 (epoch 0.635) train_loss=243.28140259 time/batch=8.84s
344/1620 (epoch 0.637) train_loss=321.54513550 time/batch=11.37s
345/1620 (epoch 0.639) train_loss=268.07641602 time/batch=9.21s
346/1620 (epoch 0.640) train_loss=492.10156250 time/batch=16.78s
347/1620 (epoch 0.642) train_loss=327.70712280 time/batch=11.52s
348/1620 (epoch 0.644) train_loss=524.98266602 time/batch=17.69s
349/1620 (epoch 0.646) train_loss=466.70983887 time/batch=15.68s
350/1620 (epoch 0.648) train_loss=487.15902710 time/batch=9.30s
351/1620 (epoch 0.650) train_loss=384.42147827 time/batch=13.42s
352/1620 (epoch 0.652) train_loss=536.61993408 time/batch=18.04s
353/1620 (epoch 0.653) train_loss=570.94348145 time/batch=19.38s
354/1620 (epoch 0.655) train_loss=266.58590698 time/batch=9.36s
355/1620 (epoch 0.657) train_loss=340.26898193 time/batch=11.97s
356/1620 (epoch 0.659) train_loss=246.85064697 time/batch=8.98s
357/1620 (epoch 0.661) train_loss=220.84193420 time/batch=7.93s
358/1620 (epoch 0.663) train_loss=274.71905518 time/batch=9.99s
359/1620 (epoch 0.665) train_loss=381.09265137 time/batch=12.95s
360/1620 (epoch 0.666) train_loss=377.43978882 time/batch=13.34s
361/1620 (epoch 0.668) train_loss=451.80395508 time/batch=15.24s
362/1620 (epoch 0.670) train_loss=277.54492188 time/batch=9.86s
363/1620 (epoch 0.672) train_loss=293.32742310 time/batch=10.30s
364/1620 (epoch 0.674) train_loss=218.67538452 time/batch=7.96s
365/1620 (epoch 0.676) train_loss=633.38635254 time/batch=21.34s
366/1620 (epoch 0.677) train_loss=353.02743530 time/batch=12.52s
367/1620 (epoch 0.679) train_loss=396.47610474 time/batch=13.83s
368/1620 (epoch 0.681) train_loss=355.75939941 time/batch=12.59s
369/1620 (epoch 0.683) train_loss=426.17065430 time/batch=14.61s
370/1620 (epoch 0.685) train_loss=462.31143188 time/batch=15.62s
371/1620 (epoch 0.687) train_loss=400.71704102 time/batch=13.59s
372/1620 (epoch 0.689) train_loss=438.15307617 time/batch=14.88s
373/1620 (epoch 0.690) train_loss=525.77593994 time/batch=17.78s
374/1620 (epoch 0.692) train_loss=422.67218018 time/batch=14.44s
375/1620 (epoch 0.694) train_loss=416.38940430 time/batch=14.54s
376/1620 (epoch 0.696) train_loss=257.43099976 time/batch=9.25s
377/1620 (epoch 0.698) train_loss=223.03549194 time/batch=8.02s
378/1620 (epoch 0.700) train_loss=427.00537109 time/batch=14.71s
379/1620 (epoch 0.702) train_loss=361.47067261 time/batch=12.56s
380/1620 (epoch 0.703) train_loss=494.45339966 time/batch=16.81s
381/1620 (epoch 0.705) train_loss=217.83648682 time/batch=7.68s
382/1620 (epoch 0.707) train_loss=333.72631836 time/batch=11.86s
383/1620 (epoch 0.709) train_loss=351.50216675 time/batch=12.33s
384/1620 (epoch 0.711) train_loss=422.12045288 time/batch=14.74s
385/1620 (epoch 0.713) train_loss=386.38320923 time/batch=13.24s
386/1620 (epoch 0.714) train_loss=319.81350708 time/batch=11.22s
387/1620 (epoch 0.716) train_loss=256.28851318 time/batch=9.29s
388/1620 (epoch 0.718) train_loss=442.36441040 time/batch=14.94s
389/1620 (epoch 0.720) train_loss=269.68740845 time/batch=9.27s
